timestamp,num_pkts,avg_ttl,median_ttl,10_percentil_ttl,25_percentil_ttl,75_percentil_ttl,90_percentil_ttl,max_ttl,min_ttl,attack,test_categorical
1370,15,137.333333333333,64,64,64,224,224,224,44,No,15
1375,21,113.095238095238,64,44,64,208,224,224,22,No,21
1380,15,114.6,64,52,64,224,224,224,43,No,15
1385,19,113.105263157895,64,50.4,64,224,224,224,33,No,19
1390,13,74.4615384615385,64,48,64,100,100,100,40,Yes,13
1395,40,79.25,64,64,64,64,112.4,224,33,No,40
1400,11,93.0909090909091,100,64,64,100,100,224,44,Yes,11
1405,18,114.055555555556,64,49.6,64,208,224,224,33,No,18
1410,13,97.0769230769231,64,49,64,64,224,224,44,No,13
1415,12,116.083333333333,64,46,64,224,224,224,33,No,12
1420,19,114,64,41.8,64,224,224,224,33,No,19
1425,16,90.1875,64,49.5,61,64,224,224,44,No,16
1430,18,118.5,64,58,64,224,224,224,33,No,18
1435,20,114.2,82,64,64,208,208,224,44,Yes,20
1440,12,102.75,64,46,64,131,224,224,33,No,12
1445,14,118.857142857143,64,55.6,64,224,224,224,44,No,14
1450,21,108.666666666667,64,44,64,224,224,224,33,No,21
1455,14,118.642857142857,64,53.5,64,224,224,224,44,No,14
1460,10,110.5,64,42.9,64,193,224,224,33,No,10
1465,19,128.631578947368,64,64,64,224,224,224,44,No,19
1470,16,101.375,64,46.5,61,131,224,224,33,No,16
1475,16,69.5,64,64,64,64,100,100,44,Yes,16
1480,19,69.2105263157895,64,38.6,64,100,100,100,22,Yes,19
1485,21,107.380952380952,64,50,64,224,224,224,44,No,21
1490,36,88.4166666666667,64,55,61.75,64,224,224,33,No,36
1495,14,90.8571428571429,64,64,64,100,175.6,208,44,Yes,14
1500,15,75,64,52,64,100,100,100,33,Yes,15
1505,12,103.5,64,35.9,59,131,224,224,35,No,12
1510,14,107.428571428571,64,55.6,64,184,224,224,44,No,14
1515,16,102.25,64,46.5,64,131,224,224,35,No,16
1520,13,75.0769230769231,64,64,64,100,100,100,64,Yes,13
1525,21,106.904761904762,64,50,64,208,224,224,35,No,21
1530,16,100.125,64,49,61,104,224,224,44,No,16
1535,9,98.1111111111111,64,42.2,64,100,224,224,35,No,9
1540,13,88.6153846153846,64,64,64,100,100,224,44,Yes,13
1545,22,91.5,64,44.5,64,91,224,224,35,No,22
1550,23,72,64,64,64,82,100,100,44,Yes,23
1555,21,115.190476190476,64,64,64,208,224,224,35,No,21
1560,13,76.3076923076923,64,64,64,100,100,100,44,Yes,13
1565,16,113.1875,64,54,64,224,224,224,35,No,16
1570,16,110.5,64,48,64,224,224,224,40,No,16
